iter	Logloss
0	0.6919109356
1	0.6908388907
2	0.6897061577
3	0.688619817
4	0.6873523973
5	0.6864184985
6	0.6852277189
7	0.6842120196
8	0.6833836697
9	0.6823554254
10	0.681185651
11	0.6796250796
12	0.6782831026
13	0.6771213526
14	0.6758677028
15	0.6748950536
16	0.6740013007
17	0.672695263
18	0.6717395539
19	0.6705490599
20	0.6691998908
21	0.6682350283
22	0.6672697326
23	0.6662348293
24	0.664969191
25	0.6641917968
26	0.6629751163
27	0.6621218573
28	0.6609785789
29	0.6602498231
30	0.6592063814
31	0.6584213482
32	0.6572644486
33	0.6563096089
34	0.6550517815
35	0.6539376838
36	0.6529766089
37	0.6520268416
38	0.6511183121
39	0.6503401032
40	0.649150617
41	0.6480132158
42	0.6468981777
43	0.6455890454
44	0.6446397179
45	0.6430792186
46	0.6419679315
47	0.6411019735
48	0.6401558314
49	0.6393370048
50	0.6382248696
51	0.6370879048
52	0.6364286887
53	0.635269193
54	0.634138104
55	0.6328562429
56	0.6318748073
57	0.6308782689
58	0.6300227951
59	0.6293470347
60	0.628273831
61	0.6272705065
62	0.6265305074
63	0.6254826634
64	0.624297692
65	0.6233385139
66	0.6225422774
67	0.6217810979
68	0.6209765012
69	0.6202214427
70	0.6195703237
71	0.6184311988
72	0.6174313179
73	0.6164647732
74	0.6156310066
75	0.6146872781
76	0.6137856534
77	0.6127441207
78	0.6119100788
79	0.6110963289
80	0.6105194917
81	0.6095442119
82	0.6086098406
83	0.6076836683
84	0.6070647822
85	0.606502629
86	0.605499619
87	0.6048069969
88	0.6039046802
89	0.6029153506
90	0.6017876366
91	0.6005971417
92	0.5996690632
93	0.5988247053
94	0.5979568849
95	0.5973833347
96	0.5963680981
97	0.595555839
98	0.5949309336
99	0.5941784438
100	0.5931571571
101	0.5922134158
102	0.5912553011
103	0.5906355711
104	0.5899759479
105	0.589189263
106	0.5880413748
107	0.5870929935
108	0.5864597784
109	0.5856999962
110	0.5849259801
111	0.5841267086
112	0.5834811853
113	0.58284778
114	0.5819739193
115	0.5811270217
116	0.5799938562
117	0.5792044231
118	0.578468508
119	0.5773023375
120	0.5766632442
121	0.5757233775
122	0.5749115627
123	0.5739979932
124	0.5736769368
125	0.572984051
126	0.5719672103
127	0.5712851598
128	0.5705931344
129	0.5698180512
130	0.5692368614
131	0.568261475
132	0.567788707
133	0.5667776992
134	0.5661394265
135	0.5654193012
136	0.5648516615
137	0.563777802
138	0.5628420049
139	0.5621922194
140	0.5612934709
141	0.560549376
142	0.5598984729
143	0.558924326
144	0.5579732842
145	0.5572404894
146	0.556510135
147	0.5557164728
148	0.5551305774
149	0.5544656707
150	0.5538174462
151	0.5531603768
152	0.5525424496
153	0.5519366873
154	0.5512387403
155	0.5503599803
156	0.5494477961
157	0.5486854809
158	0.5478277385
159	0.5470281443
160	0.5466972829
161	0.5460299199
162	0.5452325011
163	0.5445323861
164	0.5439357376
165	0.5433886322
166	0.5427184437
167	0.5421117502
168	0.5414185893
169	0.5407540295
170	0.5399006593
171	0.5391387546
172	0.5383519878
173	0.5378945354
174	0.5372341598
175	0.5364903749
176	0.5360908787
177	0.5351552646
178	0.5343631857
179	0.5338507515
180	0.5332772757
181	0.5325261829
182	0.531826995
183	0.5312563631
184	0.5304796678
185	0.5295941136
186	0.5290786793
187	0.5285235123
188	0.527841222
189	0.5271019266
190	0.5264951143
191	0.526022443
192	0.5254441398
193	0.5246431362
194	0.5239959414
195	0.5234868532
196	0.5230092611
197	0.5223576005
198	0.5218574939
199	0.5213364659
200	0.5208816479
201	0.5200887176
202	0.5196265554
203	0.5190077317
204	0.5185328453
205	0.5180017058
206	0.5173074748
207	0.5165500838
208	0.5158330392
209	0.5151372249
210	0.5146540435
211	0.5142053436
212	0.5137609802
213	0.5131826415
214	0.512367731
215	0.5116804788
216	0.5112005206
217	0.5106435902
218	0.5097413262
219	0.5092226609
220	0.5087174639
221	0.508252365
222	0.5078934465
223	0.5073180018
224	0.5066524087
225	0.506023645
226	0.5055300675
227	0.5049763772
228	0.5045799908
229	0.5041142305
230	0.5034380871
231	0.5027588993
232	0.5022626118
233	0.5018648523
234	0.5010891527
235	0.5004998059
236	0.4998504705
237	0.4993421905
238	0.4986272202
239	0.4978080712
240	0.4972468174
241	0.4967007469
242	0.496068804
243	0.4954661904
244	0.4948964184
245	0.4944419274
246	0.493603605
247	0.4930279528
248	0.4925227944
249	0.4919945453
250	0.4913227337
251	0.4907280525
252	0.4901049867
253	0.4894192779
254	0.4888531682
255	0.4882995214
256	0.4878585746
257	0.4873368596
258	0.4869691351
259	0.4862050416
260	0.4856774746
261	0.4850496076
262	0.4845512076
263	0.484000119
264	0.483413999
265	0.4827529053
266	0.4818762448
267	0.4814128679
268	0.48096582
269	0.4804949493
270	0.4801129808
271	0.4793639376
272	0.4785371401
273	0.4778930587
274	0.4774880587
275	0.4768489288
276	0.4762907171
277	0.4759376773
278	0.4754981532
279	0.4748423836
280	0.4746028433
281	0.4742162856
282	0.4736062598
283	0.4732262206
284	0.4727470393
285	0.4723740046
286	0.4717435057
287	0.4711756078
288	0.4706665661
289	0.4700030796
290	0.4695818021
291	0.4690076276
292	0.4683175274
293	0.4677767885
294	0.4673107842
295	0.4667148123
296	0.4660205354
297	0.4654069398
298	0.4649122212
299	0.4642286298
300	0.4637184227
301	0.4632904295
302	0.4625879844
303	0.4620282971
304	0.4614063623
305	0.4607286523
306	0.4602567639
307	0.4595802318
308	0.4592143601
309	0.458777981
310	0.4582503496
311	0.4577489213
312	0.4574070598
313	0.4568548246
314	0.4562188405
315	0.4558409756
316	0.4553416287
317	0.4548651791
318	0.4544928862
319	0.4540075031
320	0.4533442778
321	0.4526070601
322	0.4520370921
323	0.4516061616
324	0.4511675397
325	0.4508005316
326	0.4502457952
327	0.4499121986
328	0.4495332778
329	0.4489562683
330	0.4484935389
331	0.4480978382
332	0.4477388465
333	0.4471400213
334	0.4466158153
335	0.4461663792
336	0.4455542394
337	0.4452199557
338	0.444868855
339	0.4443667792
340	0.4439710702
341	0.4435699173
342	0.4431403018
343	0.4426608028
344	0.4420901179
345	0.4415073191
346	0.4407560794
347	0.4404372042
348	0.4400051637
349	0.439649828
350	0.4392964163
351	0.4388531221
352	0.4382396697
353	0.4378638717
354	0.4373987919
355	0.4368543357
356	0.4363832196
357	0.4359667258
358	0.4355823796
359	0.4352349517
360	0.4347692643
361	0.4343359694
362	0.4338735484
363	0.4333832863
364	0.4329972413
365	0.4324832201
366	0.4319076678
367	0.4313056802
368	0.4306804911
369	0.4302395831
370	0.4297390349
371	0.4293721504
372	0.4289217677
373	0.4284987014
374	0.4279383462
375	0.4274738926
376	0.4269739348
377	0.426488944
378	0.4258777643
379	0.4254452898
380	0.4249535316
381	0.4243315172
382	0.4239939251
383	0.4235322341
384	0.4231643665
385	0.422858524
386	0.4225012947
387	0.4220621536
388	0.4214670074
389	0.4208724585
390	0.4202791562
391	0.4198251904
392	0.4193054657
393	0.4188267862
394	0.4183047081
395	0.4177696198
396	0.4172632053
397	0.416806511
398	0.4165024382
399	0.4159731189
400	0.4155443165
401	0.4150721934
402	0.4146269315
403	0.4141960294
404	0.4138234401
405	0.4131670896
406	0.4126735314
407	0.4122437287
408	0.4117905046
409	0.4114691298
410	0.4111769312
411	0.4107643357
412	0.4101766875
413	0.4098082462
414	0.4093163066
415	0.4087539586
416	0.4081861495
417	0.4077633374
418	0.4073704594
419	0.406953517
