iter	Passed	Remaining
405	7715	11288
406	7732	11266
407	7751	11246
408	7769	11227
409	7788	11208
410	7808	11190
411	7827	11171
412	7847	11153
413	7868	11136
414	7883	11113
415	7899	11089
416	7915	11066
417	7931	11043
418	7948	11021
419	7964	10998
420	7983	10979
421	8000	10958
422	8018	10937
423	8036	10918
424	8058	10902
425	8076	10882
426	8095	10864
427	8114	10844
428	8131	10822
429	8146	10799
430	8163	10777
431	8178	10753
432	8194	10730
433	8210	10707
434	8227	10686
435	8245	10666
436	8265	10648
437	8284	10630
438	8304	10612
439	8323	10593
440	8343	10576
441	8363	10557
442	8379	10536
443	8395	10513
444	8411	10490
445	8427	10467
446	8443	10445
447	8459	10423
448	8477	10402
449	8495	10383
450	8517	10367
451	8536	10349
452	8556	10332
453	8576	10315
454	8593	10293
455	8609	10270
456	8625	10248
457	8641	10225
458	8656	10203
459	8672	10180
460	8689	10159
461	8707	10139
462	8729	10124
463	8750	10108
464	8771	10091
465	8791	10074
466	8809	10055
467	8826	10033
468	8842	10011
469	8858	9989
470	8875	9968
471	8890	9945
472	8906	9923
473	8924	9903
474	8942	9883
475	8962	9866
476	8983	9849
477	9004	9833
478	9023	9814
479	9041	9794
480	9057	9772
481	9072	9750
482	9088	9728
483	9104	9706
484	9120	9685
485	9137	9663
486	9154	9643
487	9174	9625
488	9194	9608
489	9214	9591
490	9236	9574
491	9257	9558
492	9279	9542
493	9303	9529
494	9327	9515
495	9344	9494
496	9359	9472
497	9376	9452
498	9394	9431
499	9411	9411
500	9430	9392
501	9450	9374
502	9468	9355
503	9488	9338
504	9508	9320
505	9525	9299
506	9541	9278
507	9557	9256
508	9573	9235
509	9590	9214
510	9606	9193
511	9623	9172
512	9640	9152
513	9658	9131
514	9676	9112
515	9695	9094
516	9715	9076
517	9733	9057
518	9752	9038
519	9770	9018
520	9787	8998
521	9803	8976
522	9819	8955
523	9834	8933
524	9850	8912
525	9866	8891
526	9884	8872
527	9903	8852
528	9922	8834
529	9943	8817
530	9965	8802
531	9987	8785
532	10011	8771
533	10035	8757
534	10051	8736
535	10068	8715
536	10084	8694
537	10101	8674
538	10119	8655
539	10137	8635
540	10155	8616
541	10175	8598
542	10194	8579
543	10215	8562
544	10235	8545
545	10253	8525
546	10269	8504
547	10286	8484
548	10303	8463
549	10319	8443
550	10337	8423
551	10354	8403
552	10372	8384
553	10391	8365
554	10411	8348
555	10431	8329
556	10450	8311
557	10471	8294
558	10492	8277
559	10511	8258
560	10528	8238
561	10544	8217
562	10560	8197
563	10577	8176
564	10595	8157
565	10613	8138
566	10633	8120
567	10652	8101
568	10672	8084
569	10691	8065
570	10711	8047
571	10728	8027
572	10744	8006
573	10761	7986
574	10778	7966
575	10796	7947
576	10816	7929
577	10835	7911
578	10855	7892
579	10874	7874
580	10894	7856
581	10913	7838
582	10935	7821
583	10958	7806
584	10977	7787
585	10999	7770
586	11016	7750
587	11031	7729
588	11047	7709
589	11063	7688
590	11080	7667
591	11096	7647
592	11114	7628
593	11131	7608
594	11149	7589
595	11169	7571
596	11189	7553
597	11207	7533
598	11231	7518
599	11250	7500
600	11266	7479
601	11284	7460
602	11301	7440
603	11319	7421
604	11338	7402
605	11356	7383
606	11375	7365
607	11397	7348
608	11417	7330
609	11437	7312
610	11454	7292
611	11471	7272
612	11487	7252
613	11504	7232
614	11520	7211
615	11536	7191
616	11558	7174
617	11576	7155
618	11594	7136
619	11614	7118
620	11635	7101
621	11655	7083
622	11672	7063
623	11689	7043
624	11705	7023
625	11721	7002
626	11738	6983
627	11754	6963
628	11772	6943
629	11790	6924
630	11811	6907
631	11833	6890
632	11852	6872
633	11873	6854
634	11890	6834
635	11907	6815
636	11923	6794
637	11939	6774
638	11956	6754
639	11972	6734
640	11990	6715
641	12007	6695
642	12025	6676
643	12045	6658
644	12066	6641
645	12086	6623
646	12104	6604
647	12122	6585
648	12139	6565
649	12155	6545
650	12172	6525
651	12189	6505
652	12206	6486
653	12223	6466
654	12242	6448
655	12260	6429
656	12280	6411
657	12301	6393
658	12321	6375
659	12339	6356
660	12356	6337
661	12372	6317
662	12389	6297
663	12405	6277
664	12422	6258
665	12440	6238
666	12458	6219
667	12478	6201
668	12498	6183
669	12518	6165
670	12537	6147
671	12558	6129
672	12575	6110
673	12592	6090
674	12608	6070
675	12625	6051
676	12641	6031
677	12657	6011
678	12675	5992
679	12693	5973
680	12711	5954
681	12730	5936
682	12751	5918
683	12770	5900
684	12790	5881
685	12808	5862
686	12825	5843
687	12841	5823
688	12858	5804
689	12875	5784
690	12891	5764
691	12907	5744
692	12926	5726
693	12945	5707
694	12965	5690
695	12986	5672
696	13006	5654
697	13025	5635
698	13043	5616
699	13059	5597
700	13076	5577
701	13092	5557
702	13108	5538
